EPISODES,DQN_runs,DQN_correct,PPO_runs,PPO_correct
1318,10,5,9,6
1319,13,7,11,10
1320,12,8,12,11
1321,18,12,17,13
1322,12,8,11,8
1323,15,10,15,10
1324,12,10,12,9
1325,14,8,12,9
1326,11,6,9,8
1327,9,8,9,8
1328,17,11,15,12
1329,8,5,9,7
1330,12,7,11,7
1331,15,10,12,9
1332,12,9,14,11
1333,12,9,12,8
1334,17,10,16,13
1335,9,5,8,5
1336,13,10,14,11
1337,15,6,14,11
1338,9,6,7,6
1339,11,8,12,9
1340,8,6,8,7
1341,14,9,14,9
1342,12,6,12,9
1343,14,9,14,11
1344,12,10,11,8
1345,10,10,11,8
1346,6,3,7,6
1347,12,8,12,11
1348,10,7,9,6
1349,12,7,10,9
1350,7,6,9,8
1351,15,9,15,9
1352,15,11,13,10
1353,15,11,15,12
1354,14,9,14,11
1355,9,7,9,6
1356,9,9,9,8
1357,11,9,11,10
1358,10,6,11,9
1359,11,9,12,11
1360,12,8,12,9
1361,12,7,12,10
1362,12,8,12,11
1363,9,5,9,8
1364,15,6,15,13
1365,8,6,9,8
1366,15,7,15,14
1367,14,11,14,10
1368,15,9,15,12
1369,12,7,12,11
1370,12,5,11,7
1371,13,4,14,13
1372,12,5,12,9
1373,13,10,15,11
1374,12,7,12,11
1375,9,5,9,7
1376,14,11,14,11
1377,12,9,10,9
1378,12,5,12,11
1379,14,9,13,9
1380,15,11,14,11
1381,8,7,10,7
1382,9,6,8,7
1383,13,7,13,9
1384,12,7,12,11
1385,16,8,17,14
1386,11,5,9,8
1387,15,11,13,11
1388,12,7,12,11
1389,8,4,9,8
1390,15,12,15,12
1391,17,10,18,15
1392,12,9,14,11
1393,14,9,14,11
1394,14,8,14,13
1395,9,6,9,8
1396,18,12,18,14
1397,15,10,15,12
1398,18,12,18,15
1399,14,9,14,11
1400,11,7,11,10
1401,12,7,12,11
1402,12,9,12,9
1403,15,7,15,13
1404,11,6,12,9
1405,15,11,14,10
1406,12,6,12,11
1407,15,10,15,12
1408,12,8,12,10
1409,15,9,15,11
1410,15,10,15,11
1411,12,7,12,10
1412,12,7,14,10
1413,10,7,8,7
1414,18,10,18,14
1415,15,9,15,12
1416,11,5,11,9
1417,12,5,12,11
1418,12,10,12,9
1419,12,8,12,9
1420,9,6,9,8
1421,12,8,12,9
1422,9,6,9,8
1423,9,6,9,8
1424,15,12,15,12
1425,15,11,14,11
1426,12,9,12,9
1427,9,8,8,7
1428,15,10,14,10
1429,13,7,14,13
1430,9,8,9,7
1431,10,7,10,9
1432,15,12,15,13
1433,14,9,14,10
1434,15,11,14,10
1435,6,4,7,6
1436,8,5,8,6
1437,15,9,13,10
1438,8,5,8,7
1439,12,10,11,7
1440,18,9,18,14
1441,18,13,16,13
1442,12,8,12,11
1443,14,10,15,11
1444,14,8,15,11
1445,12,6,12,11
1446,11,7,11,10
1447,17,11,16,13
1448,15,12,13,10
1449,14,9,14,11
1450,10,6,11,8
1451,11,4,12,10
1452,12,8,12,11
1453,11,6,11,9
1454,12,8,12,10
1455,14,11,15,13
1456,8,6,7,6
1457,14,10,13,10
1458,8,5,8,7
1459,10,5,12,9
1460,12,6,12,10
1461,11,11,12,9
1462,11,6,10,9
1463,11,8,11,10
1464,10,6,11,9
1465,15,10,14,11
1466,11,6,11,9
1467,18,9,17,14
1468,13,9,13,9
1469,12,6,11,9
1470,15,9,15,12
1471,10,8,12,11
1472,15,11,15,14
1473,12,7,12,9
1474,12,8,11,10
1475,11,6,9,8
1476,11,7,10,9
1477,13,7,11,8
1478,10,8,11,7
1479,9,5,9,8
1480,15,9,14,13
1481,15,11,12,9
1482,8,4,9,8
1483,12,7,11,6
1484,9,6,9,8
1485,9,4,8,7
1486,12,5,11,8
1487,12,7,12,11
1488,12,9,12,9
1489,12,6,12,11
1490,12,11,12,9
1491,12,6,11,9
1492,12,8,11,10
1493,12,10,12,9
1494,18,11,17,13
1495,15,7,15,14
1496,8,4,9,8
1497,15,6,15,13
1498,11,5,12,11
1499,11,6,12,9
1500,12,4,12,10
1501,11,6,12,9
1502,12,7,11,10
1503,12,8,12,9
1504,12,7,12,11
1505,18,10,18,14
1506,14,9,14,11
1507,7,6,7,6
1508,9,5,8,7
1509,15,11,15,12
1510,15,11,13,10
1511,12,8,12,9
1512,18,11,18,15
1513,17,10,18,14
1514,14,10,15,12
1515,9,6,9,8
1516,16,8,14,10
1517,12,7,11,8
1518,15,11,13,10
1519,15,9,15,11
1520,15,11,14,11
1521,12,7,12,10
1522,13,8,14,10
1523,12,8,14,11
1524,10,5,10,9
1525,8,4,9,8
1526,8,6,9,8
