EPISODES,DQN,PPO
306,0.6842105263157895,0.5789473684210527
307,0.7222222222222222,0.7222222222222222
308,0.26666666666666666,0.8
309,0.4666666666666667,0.4
310,0.4666666666666667,0.7333333333333333
311,0.47058823529411764,0.375
312,0.4,0.6
313,0.6666666666666666,0.5333333333333333
314,0.4,0.3333333333333333
315,0.7272727272727273,0.5555555555555556
316,0.5333333333333333,0.625
317,0.6428571428571429,0.6428571428571429
318,0.5384615384615384,0.5384615384615384
319,0.38095238095238093,0.55
320,0.5333333333333333,0.5
321,0.36363636363636365,0.6666666666666666
322,0.4666666666666667,0.5333333333333333
323,0.6,0.5
324,0.4444444444444444,0.6111111111111112
325,0.2857142857142857,0.4666666666666667
326,0.4,0.5384615384615384
327,0.6666666666666666,0.7142857142857143
328,0.35294117647058826,0.5294117647058824
329,0.5238095238095238,0.47619047619047616
330,0.5555555555555556,0.5625
331,0.6666666666666666,0.5555555555555556
332,0.5454545454545454,0.6363636363636364
333,0.6,0.35714285714285715
334,0.375,0.7058823529411765
335,0.4375,0.4375
336,0.6,0.6666666666666666
337,0.65,0.8
338,0.3333333333333333,0.7142857142857143
339,0.7647058823529411,0.7333333333333333
340,0.35714285714285715,0.6
341,0.7333333333333333,0.6153846153846154
342,0.45,0.5882352941176471
343,0.5,0.5555555555555556
344,0.5714285714285714,0.4166666666666667
345,0.6666666666666666,0.6111111111111112
346,0.5,0.5833333333333334
347,0.6470588235294118,0.5294117647058824
348,0.5238095238095238,0.6190476190476191
349,0.4444444444444444,0.6666666666666666
350,0.4117647058823529,0.5882352941176471
351,0.5,0.5333333333333333
352,0.5294117647058824,0.7333333333333333
353,0.6,0.5384615384615384
354,0.5294117647058824,0.7058823529411765
355,0.4666666666666667,0.4666666666666667
356,0.6666666666666666,0.5555555555555556
357,0.6,0.5333333333333333
358,0.5333333333333333,0.6
359,0.5333333333333333,0.6428571428571429
360,0.4,0.6
361,0.6,0.5333333333333333
362,0.47058823529411764,0.625
